Pais,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-2021,2021
Canada,,,26,83,126,92,131,161,327,444,677,1423,1840,2336,3282,3967,5265,6201,7801,9694,11214,11973,12250,12816,13413,13627,14304,5.3%,10.5%,1.7%
Mexico,,,2,2,2,17,17,18,18,18,18,101,101,101,425,519,601,1815,2122,2569,3271,4051,4199,4876,6050,6504,7692,18.6%,29.0%,0.9%
US,,,1611,2141,2445,2377,3864,4417,5995,6456,8706,11329,16515,24651,34296,39135,45676,59075,59973,64232,72573,81286,87597,94516,104052,118732,132738,12.1%,11.3%,16.1%
Argentina,,,9,14,14,14,25,26,26,28,28,28,28,28,28,28,60,137,190,215,187,187,227,750,1609,2624,3292,25.8%,49.4%,0.4%
Brazil,,,4,19,22,22,24,22,24,24,29,237,247,398,602,927,1426,1894,2202,4888,7633,10129,12304,14843,15438,17198,21161,23.4%,31.0%,2.6%
Chile,,,-,-,-,-,2,2,2,2,2,2,20,20,163,163,184,202,301,736,910,1039,1305,1524,1620,2149,3137,46.4%,32.8%,0.4%
Costa Rica,,,23,27,35,43,62,62,69,69,69,69,66,66,116,116,128,144,144,193,272,365,378,408,411,394,394,0.3%,11.9%,0.0%
Uruguay,,,-,-,-,^,^,^,^,^,^,^,^,15,31,41,44,53,59,481,857,1211,1511,1511,1514,1514,1514,0.3%,42.6%,0.2%
Other S. & Cent. America,,,6,6,7,12,21,24,32,74,66,76,92,93,163,210,350,638,790,1012,1386,1559,1602,1814,2046,2125,2258,6.6%,20.5%,0.3%
Austria,,,20,30,42,50,67,109,322,581,825,968,991,992,1001,1016,1106,1337,1675,2110,2489,2730,2887,3133,3224,3226,3524,9.5%,12.3%,0.4%
Belgium,,,9,10,11,14,26,31,67,96,167,212,276,324,608,912,1069,1370,1780,1944,2176,2370,2788,3268,3863,4681,4780,2.4%,16.2%,0.6%
Bulgaria,,,-,-,-,-,-,-,-,1,8,27,30,114,333,488,541,677,683,699,699,699,698,699,703,703,705,0.6%,2.7%,0.1%
Denmark,,,1116,1420,1738,2390,2497,2895,3120,3124,3128,3136,3124,3163,3482,3802,3952,4162,4819,4886,5077,5245,5489,6115,6103,6259,7014,12.4%,5.9%,0.9%
Finland,,,12,18,39,38,39,43,52,82,82,86,110,143,147,197,199,257,447,627,1005,1565,2044,2041,2284,2586,3257,26.3%,32.3%,0.4%
France,,,13,21,25,38,66,138,218,358,690,1412,2223,3403,4582,5912,6758,7607,8156,9201,10298,11567,13499,14900,16457,17484,18676,7.1%,10.7%,2.3%
Germany,,,2089,2877,4435,6095,8754,12001,14381,16419,18248,20474,22116,22794,25732,26903,28712,30979,33477,38614,44580,49435,55580,58721,60742,62188,63760,2.8%,8.3%,7.7%
Greece,,,29,38,106,226,270,287,371,470,491,749,846,1022,1171,1298,1640,1753,1809,1978,2091,2370,2624,2877,3589,4119,4457,8.5%,10.5%,0.5%
Ireland,,,53,64,74,117,123,135,210,336,493,677,741,942,1251,1390,1585,1704,1923,2283,2451,2802,3319,3674,4126,4307,4332,0.9%,10.6%,0.5%
Italy,,,103,197,277,363,664,780,874,1127,1635,1902,2702,3525,4879,5794,6918,8102,8542,8683,9137,9384,9737,10230,10679,10871,11276,4.0%,5.0%,1.4%
Netherlands,,,329,379,433,447,486,672,905,1075,1224,1561,1749,2149,2222,2237,2316,2433,2713,2865,3391,4257,4202,4393,4484,6619,7801,18.2%,12.9%,0.9%
Norway,,,5,8,13,13,13,97,97,152,265,284,348,395,423,425,512,705,818,859,867,883,1207,1710,2914,4030,4650,15.7%,24.7%,0.6%
Poland,,,2,2,2,4,19,32,35,40,121,172,306,526,709,1108,1800,2564,3429,3836,4886,5747,5759,5766,5837,6298,6958,10.8%,14.5%,0.8%
Portugal,,,39,51,61,83,125,190,268,553,1064,1681,2201,2857,3326,3796,4256,4412,4610,4857,4937,5124,5124,5172,5223,5122,5248,2.7%,2.1%,0.6%
Romania,,,-,-,-,-,-,-,-,-,1,1,3,5,15,389,988,1822,2773,3244,3130,3025,3030,3032,3038,3013,3013,0.3%,11.8%,0.4%
Spain,,,512,723,1408,2206,3397,4891,5945,8317,9918,11722,14820,16555,19176,20693,21529,22789,22958,22925,22943,22990,23124,23405,25590,26819,27497,2.8%,2.5%,3.3%
Sweden,,,122,176,220,209,295,357,417,475,522,585,823,1089,1475,2017,2764,3606,4194,5088,5819,6435,6611,7300,8681,9976,12080,21.4%,15.9%,1.5%
Turkey,,,9,9,9,19,19,19,19,19,21,59,146,364,792,1320,1729,2261,2760,3630,4503,5751,6516,7005,7591,8832,10607,20.4%,19.9%,1.3%
Ukraine,,,,,,5,36,46,54,71,77,77,82,83,86,88,146,248,362,514,514,526,553,621,1258,1402,1761,26.0%,28.3%,0.2%
United Kingdom,,,328,338,362,412,493,534,742,933,1565,1955,2477,3446,4422,5421,6596,9030,11282,13074,14306,16126,19585,21767,24095,24485,27130,11.1%,15.2%,3.3%
Other Europe,,,20,22,25,21,22,49,73,109,159,238,371,526,765,1032,1325,1633,1724,1913,2193,2442,2700,3007,3357,3599,4042,12.6%,11.8%,0.5%
