Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Canada,^,^,^,0.01,0.01,0.01,0.04,0.07,0.16,0.15,0.13,0.18,0.27,0.32,0.36,0.39,0.41,0.39,0.50,0.53,0.62,0.73,0.79,0.85,0.81,0.74,0.86,0.82,0.95,1.09,0.99,0.94,0.84,0.73,0.75,0.74,0.77,0.76,0.75,0.89,0.90,0.96,0.91,0.93,0.86,0.86,0.89,0.89,0.97,1.00,0.94,0.93,0.92,0.91,0.92,0.88,0.83,-5.8%,-0.6%,3.3%
Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.03,0.04,0.04,0.05,0.04,0.09,0.08,0.11,0.09,0.10,0.08,0.09,0.10,0.11,0.09,0.11,0.11,0.10,0.10,0.10,0.06,0.10,0.08,0.11,0.09,0.11,0.10,0.10,0.12,0.10,0.10,0.11,6.6%,1.1%,0.4%
US,0.04,0.06,0.08,0.13,0.15,0.23,0.41,0.58,0.90,1.23,1.85,2.05,2.70,2.97,2.74,2.70,2.93,3.04,3.16,3.52,4.13,4.45,4.90,5.67,5.69,6.20,6.59,6.65,6.56,6.89,7.24,7.26,6.76,7.24,7.83,8.11,8.21,8.28,8.05,8.26,8.14,8.15,8.29,8.24,8.11,8.14,7.93,7.67,7.82,7.85,7.81,7.84,7.79,7.76,7.76,7.54,7.40,-1.6%,-0.7%,29.3%
Argentina,-,-,-,-,-,-,-,-,-,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.05,0.06,0.06,0.07,0.06,0.05,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.07,0.08,0.06,0.06,0.08,0.10,0.10,1.5%,4.8%,0.4%
Brazil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0.03,^,0.01,0.01,0.02,0.02,0.01,0.02,^,^,0.03,0.02,0.03,0.03,0.04,0.06,0.14,0.14,0.13,0.12,0.10,0.14,0.12,0.14,0.13,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.13,0.13,4.5%,-1.2%,0.5%
Chile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Peru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Central America,-,-,-,-,^,^,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Other Caribbean,-,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Other South America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Belgium,-,^,^,^,^,^,-,^,^,^,0.07,0.10,0.12,0.13,0.12,0.13,0.13,0.16,0.25,0.28,0.35,0.40,0.43,0.44,0.42,0.44,0.44,0.44,0.43,0.41,0.42,0.44,0.48,0.47,0.50,0.49,0.47,0.48,0.47,0.47,0.47,0.46,0.47,0.44,0.46,0.46,0.46,0.38,0.40,0.32,0.24,0.40,0.39,0.26,0.40,0.31,0.46,46.7%,-0.1%,1.8%
Bulgaria,-,-,-,-,-,-,-,-,-,0.01,0.03,0.05,0.06,0.06,0.06,0.06,0.09,0.11,0.13,0.13,0.13,0.12,0.13,0.16,0.15,0.15,0.13,0.12,0.14,0.16,0.18,0.18,0.18,0.17,0.16,0.19,0.20,0.20,0.17,0.17,0.18,0.19,0.14,0.15,0.15,0.15,0.16,0.15,0.13,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.15,-1.0%,-0.4%,0.6%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
