Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Canada,0.78,0.85,0.91,1.01,1.13,1.25,1.33,1.50,1.59,1.61,1.66,1.68,1.76,1.78,1.80,1.79,1.74,1.84,1.75,1.95,2.04,1.97,1.99,2.19,2.37,2.30,2.31,2.45,2.60,2.69,2.78,2.83,2.88,2.84,3.03,3.21,3.03,3.15,3.23,3.16,3.15,3.13,3.37,3.33,3.23,3.30,3.62,3.58,3.80,3.95,3.97,3.78,3.96,4.16,4.22,4.08,4.29,5.5%,1.7%,3.0%
Mexico,0.29,0.31,0.26,0.28,0.35,0.36,0.37,0.40,0.44,0.46,0.47,0.46,0.49,0.62,0.75,0.80,0.87,0.94,0.97,0.97,0.99,0.88,0.90,0.91,0.89,0.97,1.02,1.02,1.02,1.08,1.10,1.13,1.13,1.21,1.22,1.29,1.30,1.48,1.60,1.73,1.90,2.10,2.05,2.16,2.35,2.38,2.55,2.65,2.80,2.84,2.91,2.99,3.10,3.15,3.17,3.01,3.18,5.7%,2.2%,2.2%
US,14.97,16.14,17.04,18.24,19.63,20.70,21.34,21.55,21.38,20.64,18.94,19.32,18.93,18.99,19.62,19.21,18.75,17.43,16.35,17.47,16.81,15.75,16.75,17.52,18.61,18.61,19.02,19.67,20.16,20.63,21.53,21.92,22.05,21.68,21.75,22.62,21.62,22.32,21.68,21.77,21.43,21.12,22.47,22.64,22.23,23.33,23.70,24.77,25.45,26.00,26.77,26.97,26.64,29.58,30.62,29.95,29.76,-0.4%,2.3%,20.5%
Argentina,0.15,0.16,0.17,0.19,0.19,0.21,0.23,0.26,0.29,0.31,0.32,0.35,0.37,0.36,0.37,0.40,0.42,0.48,0.52,0.55,0.56,0.61,0.61,0.71,0.74,0.71,0.72,0.78,0.83,0.85,0.94,1.08,1.00,1.07,1.13,1.16,1.09,1.06,1.21,1.33,1.41,1.46,1.54,1.55,1.51,1.52,1.58,1.64,1.66,1.66,1.68,1.74,1.74,1.75,1.68,1.58,1.65,4.8%,0.5%,1.1%
Brazil,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.05,0.06,0.07,0.09,0.11,0.12,0.12,0.12,0.11,0.12,0.13,0.16,0.17,0.19,0.21,0.23,0.24,0.28,0.35,0.44,0.52,0.58,0.70,0.72,0.76,0.78,0.92,0.74,0.99,0.99,1.17,1.38,1.46,1.55,1.34,1.35,1.29,1.29,1.13,1.46,29.1%,3.9%,1.0%
Chile,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.10,0.14,0.20,0.25,0.29,0.29,0.31,0.34,0.33,0.30,0.18,0.10,0.10,0.21,0.21,0.19,0.19,0.16,0.17,0.21,0.20,0.20,0.23,0.22,0.23,0.9%,0.7%,0.2%
Colombia,0.03,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.10,0.11,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.16,0.20,0.24,0.20,0.21,0.21,0.22,0.21,0.22,0.23,0.24,0.26,0.26,0.30,0.31,0.31,0.34,0.38,0.41,0.40,0.43,0.43,0.46,0.46,0.47,0.45,-3.5%,4.0%,0.3%
Ecuador,-,-,-,-,-,^,^,^,^,^,0.01,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,-0.1%,-0.2%,♦
Peru,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.09,0.12,0.12,0.20,0.23,0.25,0.24,0.27,0.28,0.31,0.27,0.29,0.30,0.26,0.29,12.8%,2.5%,0.2%
Trinidad & Tobago,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.09,0.09,0.10,0.11,0.14,0.14,0.15,0.15,0.16,0.16,0.19,0.19,0.20,0.20,0.19,0.22,0.25,0.27,0.30,0.33,0.33,0.33,0.35,0.39,0.42,0.49,0.54,0.59,0.69,0.71,0.69,0.69,0.75,0.74,0.73,0.73,0.74,0.71,0.61,0.66,0.63,0.63,0.55,0.56,3.0%,-2.7%,0.4%
Venezuela,0.27,0.28,0.31,0.32,0.33,0.31,0.30,0.30,0.37,0.39,0.38,0.47,0.51,0.51,0.57,0.59,0.59,0.63,0.62,0.69,0.69,0.76,0.74,0.76,0.78,0.88,0.88,0.86,0.93,0.99,1.10,1.19,1.23,1.29,1.10,1.12,1.18,1.14,1.01,1.14,1.10,1.26,1.34,1.26,1.23,1.13,1.20,1.25,1.16,1.22,1.33,1.34,1.39,1.14,0.92,0.78,0.86,11.5%,-3.2%,0.6%
Central America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,0.01,0.01,-20.9%,-,♦
Other Caribbean,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.04,0.05,0.05,0.06,0.06,0.06,0.08,0.09,0.09,0.09,0.09,0.10,0.12,0.13,0.13,0.13,0.14,0.13,0.15,0.18,0.17,0.22,30.7%,8.1%,0.1%
Other South America,^,^,^,^,^,^,^,^,^,0.01,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.11,0.11,0.12,0.13,0.12,0.13,0.13,0.13,0.14,0.11,0.13,17.3%,1.8%,0.1%
Austria,0.06,0.07,0.06,0.07,0.08,0.10,0.12,0.13,0.14,0.15,0.15,0.17,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.19,0.19,0.20,0.19,0.20,0.22,0.24,0.23,0.24,0.25,0.27,0.29,0.28,0.29,0.29,0.28,0.30,0.29,0.32,0.33,0.34,0.32,0.30,0.33,0.32,0.35,0.33,0.31,0.30,0.27,0.29,0.30,0.33,0.31,0.32,0.31,0.32,6.0%,♦,0.2%
Belgium,^,^,0.02,0.04,0.09,0.14,0.20,0.25,0.30,0.35,0.35,0.37,0.36,0.36,0.39,0.37,0.34,0.29,0.30,0.31,0.31,0.28,0.31,0.30,0.34,0.34,0.37,0.38,0.40,0.41,0.45,0.50,0.48,0.52,0.56,0.56,0.55,0.57,0.61,0.62,0.61,0.63,0.63,0.63,0.63,0.70,0.59,0.60,0.60,0.52,0.57,0.58,0.59,0.61,0.63,0.61,0.61,0.1%,0.3%,0.4%
Bulgaria,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.07,0.09,0.10,0.10,0.13,0.14,0.16,0.17,0.18,0.19,0.19,0.21,0.21,0.21,0.23,0.19,0.17,0.16,0.16,0.19,0.19,0.16,0.13,0.11,0.12,0.10,0.09,0.10,0.09,0.12,0.12,0.12,0.12,0.09,0.10,0.11,0.10,0.10,0.10,0.11,0.11,0.12,0.11,0.10,0.11,0.12,13.4%,0.8%,0.1%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.10,0.11,0.11,0.10,0.10,0.08,0.09,0.09,0.10,0.10,0.10,0.11,0.10,-3.5%,-0.6%,0.1%
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Czech Republic,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.09,0.11,0.11,0.12,0.14,0.14,0.18,0.19,0.20,0.20,0.21,0.22,0.21,0.24,0.25,0.24,0.27,0.32,0.32,0.32,0.32,0.31,0.34,0.32,0.33,0.33,0.32,0.32,0.30,0.30,0.28,0.34,0.29,0.29,0.29,0.26,0.27,0.29,0.30,0.29,0.30,0.30,0.33,7.5%,1.4%,0.2%
