Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,480.4,463.7,479.6,477.2,494.2,515.4,525.2,539.8,557.3,561.2,582.4,584.9,598.6,608.4,606.7,606.7,602.2,629.3,611.5,580.0,596.7,602.9,600.5,616.1,625.7,626.2,609.1,629.4,642.1,639.3,582.2,595.4,2.544%,-0.1%,1.5%
Mexico,315.9,327.0,330.5,336.5,361.9,347.7,367.6,390.0,409.1,399.4,420.9,417.4,436.3,441.3,458.3,486.1,500.0,507.4,524.2,515.4,515.3,534.0,539.5,544.6,532.4,534.2,536.3,538.3,532.1,511.5,424.7,444.0,4.814%,-1.8%,1.1%
US,5275.4,5225.9,5308.4,5412.1,5505.4,5543.2,5723.7,5802.0,5841.4,5880.2,6048.6,5960.0,5979.3,6042.1,6146.7,6183.0,6110.1,6205.7,6028.6,5601.8,5815.4,5688.3,5458.7,5633.0,5670.5,5561.8,5435.8,5394.0,5593.6,5489.6,4883.7,5167.9,6.109%,-1.0%,13.3%
Argentina,123.9,126.3,133.6,132.9,139.9,146.1,154.4,154.4,160.8,165.3,159.6,149.7,144.6,156.1,168.0,175.2,181.7,194.6,196.5,186.9,195.7,201.5,210.7,216.4,216.4,220.1,218.3,216.6,215.5,207.0,193.8,212.8,10.101%,0.5%,0.5%
Brazil,217.1,227.0,235.3,246.9,257.2,273.4,296.1,312.2,325.8,330.7,336.8,346.2,346.9,341.9,356.3,368.3,374.4,390.9,417.5,398.2,448.9,474.8,497.5,538.4,563.9,534.5,496.4,501.1,480.9,481.0,448.6,495.8,10.825%,0.4%,1.3%
Chile,33.2,34.1,34.8,37.0,40.3,43.8,49.1,56.4,58.0,59.9,58.0,55.5,57.1,57.1,62.2,63.4,67.3,78.6,79.4,76.1,77.7,88.6,90.9,92.6,89.8,90.4,95.7,93.7,94.3,95.9,85.7,88.2,3.159%,♦,0.2%
Colombia,50.7,53.1,61.6,64.8,68.7,71.0,70.0,76.4,78.0,68.8,68.3,66.1,63.3,65.4,65.0,64.5,74.7,74.0,82.0,83.1,90.1,89.4,99.2,102.8,108.2,109.4,112.4,105.1,107.2,114.4,98.7,105.4,7.137%,1.7%,0.3%
Ecuador,22.2,24.4,24.7,25.3,27.4,27.9,31.0,34.0,33.5,30.2,28.6,29.8,28.8,29.7,33.6,35.7,37.4,37.1,38.3,37.7,42.0,43.0,44.3,47.7,50.5,49.2,47.2,45.6,47.9,46.9,39.1,46.3,18.712%,0.7%,0.1%
Peru,22.2,21.2,21.8,22.6,24.5,27.4,28.7,29.5,28.7,28.9,29.0,27.4,28.2,27.4,31.0,32.6,31.6,35.5,39.3,40.3,46.5,51.6,53.2,54.7,56.4,58.5,62.9,61.6,64.1,66.3,53.9,63.3,17.861%,2.1%,0.2%
Trinidad & Tobago,21.7,21.1,22.1,20.0,18.4,19.3,20.0,18.7,18.3,20.9,19.0,20.4,22.0,25.4,27.1,28.3,33.4,34.1,33.7,32.0,34.4,34.2,33.6,34.4,33.5,32.0,28.9,28.3,27.7,25.8,22.2,21.2,-4.072%,-4.7%,0.1%
Venezuela,225.4,230.1,241.8,244.1,257.4,274.6,281.0,305.1,314.8,300.9,308.7,318.7,315.0,294.5,316.0,324.5,327.9,340.0,339.4,328.4,325.6,332.1,356.5,361.7,350.9,342.8,310.4,284.2,242.7,204.6,162.7,171.1,5.489%,-6.4%,0.4%
Central America,23.0,24.9,28.0,30.2,32.9,36.3,35.8,38.8,44.4,43.8,46.1,49.4,49.5,51.7,52.8,52.4,55.3,58.2,58.8,57.1,58.3,62.4,63.8,64.7,66.8,73.0,75.6,75.2,72.4,79.3,67.9,76.9,13.570%,2.1%,0.2%
Other Caribbean,91.8,86.8,85.0,85.9,90.8,89.1,90.7,96.4,99.5,93.3,109.4,117.0,117.6,120.5,123.0,123.3,127.6,127.0,119.4,113.8,111.8,113.8,111.0,108.7,108.1,111.3,114.7,110.8,114.1,117.7,104.1,116.1,11.864%,0.2%,0.3%
Other South America,19.4,20.3,21.2,22.9,25.1,24.8,25.4,26.3,26.4,27.8,24.3,23.9,24.4,26.4,28.4,29.1,29.4,31.8,34.9,36.8,39.2,41.4,42.6,43.7,44.6,45.2,47.0,47.5,48.5,47.8,44.6,48.4,8.820%,1.6%,0.1%
Austria,60.2,65.0,59.8,60.2,60.8,62.9,64.7,65.4,65.5,64.8,65.5,70.1,71.2,77.0,75.7,76.7,74.8,71.3,72.1,65.5,69.6,66.5,64.1,64.7,60.4,62.5,63.5,66.3,64.0,65.5,57.9,60.3,4.362%,-1.0%,0.2%
Belgium,129.3,133.6,131.2,129.1,132.8,132.2,140.2,139.1,143.0,136.4,139.6,139.3,137.1,144.2,142.9,139.1,141.3,140.9,142.2,127.4,136.1,123.4,118.9,120.0,111.7,117.7,119.4,121.1,128.0,124.6,108.2,117.5,8.828%,-0.5%,0.3%
Bulgaria,88.7,73.2,72.0,73.8,70.9,74.9,73.4,70.8,68.2,58.4,56.0,58.8,56.8,61.1,59.0,60.1,61.2,66.3,63.6,55.3,58.0,65.1,59.4,52.3,56.1,60.4,56.2,59.8,54.8,53.2,45.3,53.2,17.716%,-2.0%,0.1%
Croatia,23.9,17.0,16.7,17.8,16.7,17.2,17.2,18.8,21.0,20.9,19.9,21.1,22.2,23.6,22.9,23.5,23.7,25.0,23.9,22.2,21.4,20.5,18.6,18.2,17.9,18.3,18.7,19.2,18.3,18.1,16.6,17.4,5.384%,-1.6%,♦
Czech Republic,157.8,145.5,139.1,136.3,130.9,132.2,135.0,129.3,123.7,115.9,126.1,126.7,122.2,125.5,126.5,125.1,127.7,127.6,122.3,115.1,118.0,114.8,110.9,106.3,103.5,104.4,106.5,104.7,103.8,100.2,89.9,94.3,5.243%,-1.9%,0.2%
