Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Canada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.7,0.9,1.6,2.5,3.0,3.8,6.6,8.7,10.2,11.3,11.1,12.8,27.0,30.9,31.5,33.1,32.9,35.6,35.1,-1.2%,13.2%,1.9%
Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.2,0.3,0.6,1.2,1.6,3.7,4.2,6.4,8.7,10.4,10.6,13.1,16.7,19.7,20.9,6.4%,28.9%,1.1%
US,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,2.1,2.8,3.0,2.9,3.0,3.5,3.2,3.3,3.3,3.1,4.5,5.6,6.8,10.5,11.3,14.3,18.0,26.9,34.8,55.9,74.6,95.6,121.4,142.2,169.5,183.5,192.6,229.3,256.9,275.4,298.9,341.4,383.6,12.7%,12.2%,20.6%
Argentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,0.4,0.5,0.6,0.6,0.5,0.6,1.4,5.0,9.4,12.9,37.9%,85.7%,0.7%
Brazil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.7,1.2,1.2,2.2,2.7,5.1,6.6,12.2,21.6,33.5,42.4,48.5,56.0,57.1,72.3,27.1%,38.9%,3.9%
Chile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.3,0.3,0.4,0.5,1.4,2.1,2.5,3.6,3.6,4.9,5.6,9.5,69.7%,39.6%,0.5%
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,^,0.1,^,0.1,0.1,^,^,0.1,0.1,0.1,0.1,0.1,^,^,0.1,^,0.1,493.0%,3.8%,♦
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-19.4%,33.9%,♦
Peru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.3,0.6,1.1,1.1,1.5,1.7,1.8,1.8,-0.4%,107.8%,0.1%
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,♦,-,♦
Central America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.7,1.1,1.3,2.1,3.1,3.3,3.2,4.4,4.4,3.7,4.1,9.8%,18.5%,0.2%
Other Caribbean,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.9,1.0,1.1,1.1,1.3,1.4,1.8,2.1,2.3,7.8%,20.7%,0.1%
Other South America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.7,2.1,3.0,3.8,4.8,4.8,5.5,5.1,-7.5%,45.8%,0.3%
Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,0.2,0.2,0.4,0.9,1.3,1.8,2.0,2.0,2.0,2.1,1.9,2.5,3.2,3.8,4.8,5.2,6.6,6.0,7.5,6.8,6.8,-0.3%,13.3%,0.4%
Belgium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.4,0.5,0.6,1.0,1.3,2.3,2.8,3.7,4.6,5.6,5.4,6.5,7.6,9.8,12.8,11.9,-6.7%,17.8%,0.6%
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.2,0.7,0.9,1.2,1.4,1.3,1.5,1.4,1.5,1.3,1.3,1.5,1.4,-2.7%,5.2%,0.1%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1.0,1.2,1.3,1.5,1.7,2.1,20.5%,26.2%,0.1%
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.8%,8.0%,♦
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.6,-13.7%,4.2%,♦
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.0,1.1,1.2,1.2,1.9,2.8,3.0,4.2,4.3,4.9,5.6,6.6,6.6,6.1,7.2,6.9,6.7,7.8,9.8,10.3,11.1,13.1,14.1,12.8,14.8,13.9,16.1,16.3,16.0,-1.6%,5.1%,0.9%
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.8,0.7,-11.8%,7.3%,♦
