Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Canada,-,-,-,-,-,-,-,-,-,-,-,0.7,1.1,1.1,1.3,1.3,1.9,2.1,2.1,2.3,1.7,1.9,2.3,2.5,3.5,4.0,4.0,4.5,4.8,5.7,7.1,7.5,8.2,9.0,8.9,8.9,9.7,10.0,9.4,9.8,9.2,8.9,9.0,8.0,8.9,10.3,10.2,10.9,11.0,9.8,10.0,11.4,10.9,10.5,10.3,9.4,9.7,3.6%,-0.5%,1.3%
Mexico,-,-,-,-,-,-,-,-,0.2,0.5,0.5,0.6,0.6,0.6,1.0,0.9,1.0,1.3,1.4,1.4,1.6,3.4,4.4,4.6,4.7,5.1,5.8,6.4,6.5,6.2,6.4,6.2,5.9,6.1,6.1,6.4,6.2,6.1,6.9,7.3,8.1,7.5,8.2,7.9,7.5,7.4,7.4,6.8,7.3,7.1,7.6,7.6,8.1,7.6,7.5,7.0,6.9,-1.6%,-0.6%,0.9%
US,13.3,14.1,14.1,15.5,16.2,16.2,16.6,18.7,20.0,20.4,19.8,22.6,23.5,24.7,25.8,26.7,27.4,26.4,29.8,35.6,36.4,38.7,42.7,42.4,48.9,57.5,60.6,64.8,66.9,66.4,63.3,64.8,65.8,65.6,66.5,66.6,66.8,71.8,71.3,71.9,72.6,73.1,73.9,73.6,73.2,75.1,75.8,77.0,80.7,84.1,83.7,82.7,82.8,81.9,76.8,74.3,75.5,1.9%,♦,9.9%
Argentina,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.9,0.9,0.9,1.0,1.1,1.2,1.2,1.4,1.4,1.5,1.6,1.5,1.5,1.1,1.4,1.6,1.6,2.3,2.1,-6.8%,4.0%,0.3%
Brazil,-,-,-,-,-,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1.1,1.3,1.8,1.8,1.9,2.2,3.0,2.9,3.1,3.2,3.6,3.3,3.4,3.9,4.0,4.9,5.0,5.4,5.6,6.8,7.4,7.5,8.4,7.9,9.0,10.2,11.9,12.5,13.6,14.8,18.1,19.8,22.9,31.9,32.6,35.8,41.0,47.1,49.9,51.3,52.9,54.4,54.9,58.7,55.0,-6.2%,5.4%,7.2%
Chile,-,-,-,-,-,-,0.1,0.1,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,1.0,1.0,1.7,1.8,1.8,1.9,1.7,1.7,1.2,1.5,1.4,1.7,1.8,1.7,2.0,1.8,1.4,2.7,3.6,3.4,3.4,4.3,6.0,6.9,5.0,5.6,6.7,7.4,9.2,9.5,8.7,8.5,-3.0%,7.0%,1.1%
Colombia,-,-,-,-,-,-,-,-,-,-,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.1,1.4,1.5,1.3,1.7,1.8,2.0,2.0,2.1,2.4,2.8,2.8,0.3%,7.4%,0.4%
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,-11.6%,4.1%,0.1%
Peru,-,-,-,-,-,-,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.7,0.7,0.7,1.0,1.3,0.9,0.3,0.4,0.5,0.5,0.5,0.6,13.7%,-1.5%,0.1%
Trinidad & Tobago,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,♦,-,♦
Central America,-,-,-,-,-,-,0.1,0.1,0.1,0.2,0.3,0.7,0.7,0.8,0.6,0.7,1.1,1.2,1.0,1.2,0.9,0.9,0.9,0.9,1.2,1.2,1.3,1.8,1.7,1.7,1.8,1.7,1.9,1.6,2.4,2.8,3.1,3.3,3.5,3.7,4.0,4.3,4.8,5.0,5.3,5.9,5.9,6.7,7.2,7.7,7.8,8.6,8.3,9.0,10.1,9.7,10.0,3.8%,5.4%,1.3%
Other Caribbean,-,-,-,-,-,-,1.0,0.8,1.0,1.0,1.0,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.5,1.3,1.2,1.3,1.3,1.4,1.4,1.6,1.4,1.5,1.1,1.1,1.0,1.2,1.2,1.0,1.2,1.3,1.3,1.2,1.0,1.1,0.8,0.8,0.8,0.9,0.9,0.8,0.8,1.0,1.1,0.9,1.0,1.0,1.1,1.0,1.2,1.2,1.3,3.3%,4.3%,0.2%
Other South America,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.0,1.1,1.3,1.3,1.5,1.7,2.2,2.8,2.8,2.9,2.8,2.9,3.1,3.3,6.0%,9.4%,0.4%
Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,1.3,0.9,1.0,1.1,1.1,1.2,1.3,1.4,1.2,1.9,1.6,1.7,1.8,1.6,1.5,1.7,1.5,1.7,2.1,2.4,3.3,4.1,4.2,4.3,4.5,4.6,4.7,4.7,4.6,4.7,4.8,4.9,4.9,4.7,4.6,4.4,-4.3%,-0.4%,0.6%
Belgium,-,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,^,^,^,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.9,1.0,1.6,2.2,2.6,3.3,3.9,4.3,4.7,5.2,5.0,4.4,5.5,5.4,5.7,5.4,5.2,5.3,4.9,-6.5%,0.5%,0.6%
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.1,0.2,0.3,0.4,0.4,1.6,1.8,1.7,1.7,♦,40.6%,0.2%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.0,1.1,1.2,10.9%,35.9%,0.2%
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,-30.8%,-2.1%,♦
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.3,0.4,0.3,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.6,0.6,0.9,1.2,1.5,1.9,2.1,2.7,3.4,4.0,4.7,4.8,4.8,5.0,4.8,5.0,5.1,5.3,3.5%,6.9%,0.7%
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.7,0.6,0.6,0.8,1.0,1.1,1.3,1.3,1.5,1.9,2.5,2.9,3.2,3.1,3.1,3.1,3.3,4.6,4.4,4.4,4.3,4.3,4.2,4.8,6.2,5.9,5.9,5.9,8.7,47.8%,7.2%,1.1%
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.3,0.7,0.8,1.0,0.7,0.7,0.8,0.9,1.0,1.3,1.3,1.8,2.1,19.4%,10.5%,0.3%
Finland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,5.0,5.0,6.0,6.5,6.6,5.9,7.9,9.3,8.4,8.6,8.2,8.9,9.3,10.4,9.5,10.8,9.9,10.4,8.7,11.0,11.2,11.1,11.9,11.7,11.3,11.4,11.8,12.8,13.2,11.5,13.6,18.7%,2.0%,1.8%
France,-,0.4,0.6,0.9,1.1,1.4,1.4,1.5,1.6,1.6,1.4,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,2.1,2.1,2.0,2.2,2.3,2.4,2.7,2.7,2.9,3.0,3.3,3.5,3.7,3.8,3.9,3.8,4.2,4.4,4.6,4.9,5.5,6.3,7.8,8.3,8.8,9.6,10.3,10.6,10.7,10.7,11.2,5.2%,7.4%,1.5%
Germany,-,-,-,-,-,0.9,1.0,1.0,1.1,1.1,1.1,1.3,1.2,1.3,1.4,2.0,1.8,1.8,1.5,1.6,1.6,1.6,1.4,1.6,1.7,1.4,1.5,1.6,1.7,1.9,2.0,2.1,2.3,2.7,2.9,3.4,5.2,6.4,8.9,10.6,14.7,18.9,24.6,28.0,30.9,34.0,36.9,43.2,45.6,48.4,50.5,51.1,51.1,51.0,50.3,51.1,50.9,-0.1%,3.3%,6.7%
Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,-,-,-,^,-,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.2,-60.8%,-1.5%,♦
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,^,0.1,0.1,0.1,0.1,0.1,^,0.2,0.7,1.7,1.3,1.6,1.9,2.3,2.3,1.9,1.7,1.8,2.1,2.2,2.1,2.2,2.3,2.2,2.2,2.2,2.4%,1.8%,0.3%
Iceland,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.7,1.1,1.3,1.5,1.4,1.4,1.5,1.7,2.6,3.6,4.0,4.6,4.5,4.7,5.2,5.2,5.2,5.0,5.1,5.2,6.0,6.0,6.0,5.8,-2.6%,2.1%,0.8%
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.9,0.9,1.0,3.6%,11.2%,0.1%
Italy,2.7,3.4,3.5,3.6,3.8,4.2,4.2,3.8,3.8,4.2,4.0,3.8,3.7,3.8,3.8,4.0,3.5,3.5,3.4,3.5,3.2,3.5,3.7,3.8,3.2,3.3,3.3,3.6,3.8,3.6,3.7,4.1,4.5,5.0,5.5,6.1,6.3,7.4,8.7,9.7,10.0,10.6,10.8,11.5,12.9,14.8,16.5,18.1,22.7,24.6,25.6,25.8,25.6,25.3,25.6,25.7,25.8,0.7%,4.6%,3.4%
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.3,0.5,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,-4.8%,21.2%,0.1%
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,-6.5%,13.4%,0.1%
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,5.1%,15.4%,0.1%
Netherlands,-,-,-,-,-,-,-,-,-,-,0.8,0.9,0.9,1.2,1.1,1.0,1.1,0.3,0.2,^,0.4,0.6,0.7,0.8,0.9,0.7,0.8,0.8,0.9,0.9,1.0,1.3,1.5,1.6,1.8,2.0,2.4,2.9,2.5,3.3,5.3,5.2,4.0,5.1,6.1,7.1,7.1,7.2,6.0,5.0,4.9,4.9,4.6,4.6,5.8,8.8,10.8,22.4%,4.3%,1.4%
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.1,0.1,0.1,0.1,0.1,-5.8%,-,♦
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,♦,-2.9%,♦
