Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Canada,0.1,0.2,0.2,0.9,0.5,1.0,4.3,7.2,15.3,14.7,12.6,17.4,26.3,31.2,35.3,38.0,40.1,38.3,48.6,52.2,60.5,71.3,77.3,82.9,79.3,72.5,84.3,80.0,93.3,107.1,97.2,92.1,82.0,71.0,73.0,72.3,76.2,75.0,74.4,89.8,91.4,97.3,92.8,95.4,89.5,90.0,92.9,94.2,102.7,106.5,101.1,100.7,100.6,100.0,100.5,97.5,92.0,-5.4%,-0.1%,3.3%
Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,2.9,4.2,3.9,4.9,4.2,8.4,7.9,10.5,9.3,10.0,8.2,8.7,9.7,10.5,9.2,10.8,10.9,10.4,9.8,10.5,5.9,10.1,8.8,11.8,9.7,11.6,10.6,10.9,13.6,11.2,11.2,11.9,7.0%,1.7%,0.4%
US,3.8,5.8,8.1,13.2,14.7,23.0,40.1,56.9,87.9,120.0,181.6,201.2,264.1,291.0,268.6,264.3,287.0,297.7,309.1,344.9,403.9,435.8,479.2,554.7,557.2,607.2,644.8,651.3,642.4,674.1,708.8,710.2,661.7,709.2,766.6,793.6,809.3,821.1,803.9,830.0,823.1,828.7,848.9,848.6,840.9,849.4,831.8,809.8,830.5,839.1,839.1,848.1,847.3,849.6,852.0,831.5,819.1,-1.2%,-0.2%,29.3%
Argentina,-,-,-,-,-,-,-,-,-,1.0,2.5,2.6,1.6,2.9,2.7,2.3,2.8,1.9,3.4,4.6,5.8,5.7,6.5,5.8,5.0,7.3,7.8,7.1,7.8,8.2,7.1,7.5,8.0,7.5,7.1,6.2,7.1,5.8,7.6,7.9,6.9,7.7,7.3,7.4,8.2,7.2,6.4,6.4,6.2,5.5,7.0,8.3,6.1,6.9,8.4,10.7,10.8,1.9%,5.4%,0.4%
Brazil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,3.4,0.1,1.0,0.6,1.8,2.2,1.4,1.8,0.4,0.1,2.5,2.4,3.2,3.3,4.0,6.0,14.3,13.8,13.4,11.6,9.9,13.8,12.3,14.0,13.0,14.5,15.7,16.0,15.4,15.4,14.7,15.9,15.7,15.7,16.1,14.1,14.7,4.9%,-0.6%,0.5%
Chile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Peru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Central America,-,-,-,-,0.1,^,^,0.1,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Other Caribbean,-,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Other South America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
